(1006552,70255032)
(1007137,70394116)
(1016086,71139852)
(1016480,71313903)
(1016723,71394681)
(1019521,71694704)
(1019847,71774363)
(1020269,71809568)
(1020312,71817058)
(1032200,72740325)
(1032430,72810326)
(1032683,72870034)
(1033733,73109364)
(1034047,73284588)
(1035000,73465322)
(1035774,73686512)
(1036813,73785695)
(1036904,73843957)
(1037242,73916836)
(1037494,73975182)
(1038278,74166027)
(1038350,74199412)
(1039304,74515253)
(1039344,74543887)
(1042803,74769087)
(1042890,74815274)
(1043586,74997789)
(1044001,75117055)
(1044852,75264661)
(1046322,75423717)
(1046880,75487820)
(1047096,75601645)
(1047219,75623739)
(1063492,76903013)
(1063518,76915050)
(1067297,77047293)
(1068173,77200841)
(1068455,77226482)
(1069673,77365955)
(1070359,77573569)
(1072976,77804833)
(1073005,77809590)
(1073266,77859043)
(1074134,77961108)
(1074878,78100335)
(1075576,78221828)
(1075892,78325912)
(1075934,78350382)
(1087717,78461169)
(1087891,78491880)
(1090548,78939059)
(1090663,78959215)
(1093824,79065832)
(1093952,79211073)
(1108642,80465642)
(1109134,80601183)
(1109670,80708669)
(1110094,80772294)
(1110155,80795248)
(1113717,81201956)
(1117311,81592268)
(1117384,81597637)
(1117576,81676013)
(1118249,81830975)
(1121311,82260314)
(1122427,82479590)
(1122440,82481968)
(1123020,82628131)
(1123352,82775972)
(1123629,82880876)
(1125300,83473491)
(1127581,83655894)
(1131169,84759264)
(1131660,84881623)
(1132487,85082139)
(1132697,85156656)
(1135672,85746905)
(1136137,85874772)
(1150566,87061438)
(1150840,87113742)
(1151200,87266553)
(1151309,87269771)
(1151878,87438205)
(1151978,87522093)
(1152781,87615459)
(1153317,87716643)
(1153362,87729933)
(1154972,88171634)
(1155231,88238311)
(1156330,88371814)
(1157637,88498765)
(1157643,88503101)
(1159536,88942520)
(1160218,89082035)
(1160381,89155798)
(1160426,89167353)
(1162892,89724484)
(1163413,89795408)
(1163428,89796743)
(1165611,89902852)
(1165830,89988990)
(1165904,90018898)
(1165921,90019400)
(1167645,90560801)
(1172587,90927669)
(1175214,91394077)
(1177009,91688264)
(1184057,92341339)
(1184090,92347935)
(1184132,92366926)
(1185196,92509853)
(1185465,92570197)
(1185999,92751026)
(1186095,92833661)
(1186454,92888709)
(1187271,93166062)
(1187839,93250628)
(1188412,93415958)
(1188843,93548189)
(1190768,94055103)
(1192454,94281350)
(1195123,94772374)
(1195608,94865008)
(1195657,94912763)
(1196074,95069221)
(1196937,95230643)
(1197259,95314971)
(1197386,95406717)
(1198048,95483564)
(1201775,95717383)
